id,cast_parsed
62177,"Kelly Macdonald,Billy Connolly,Emma Thompson,Julie Walters,Kevin McKidd"
188927,"Zachary Quinto,Zoe Saldana,Simon Pegg,Karl Urban,Chris Pine"
10681,"John Ratzenberger,Elissa Knight,Fred Willard,Jeff Garlin,Ben Burtt"
5174,"Hiroyuki Sanada,Max von Sydow,Chris Tucker,Jackie Chan,Yvan Attal"
14161,"Chiwetel Ejiofor,Thandie Newton,Oliver Platt,John Cusack,Amanda Peet"
17979,"Steve Valentine,Daryl Sabara,Gary Oldman,Jim Carrey,Sage Ryan"
76757,"Channing Tatum,Eddie Redmayne,Douglas Booth,Mila Kunis,Sean Bean"
258489,"Alexander Skarsgård,Samuel L. Jackson,Christoph Waltz,Djimon Hounsou,Margot Robbie"
411,"William Moseley,Anna Popplewell,Skandar Keynes,Georgie Henley,Liam Neeson"
246655,"Michael Fassbender,Jennifer Lawrence,Nicholas Hoult,James McAvoy,Oscar Isaac"
155,"Maggie Gyllenhaal,Christian Bale,Michael Caine,Aaron Eckhart,Heath Ledger"
14160,"Christopher Plummer,Delroy Lindo,Bob Peterson,Jordan Nagai,Ed Asner"
15512,"Kiefer Sutherland,Reese Witherspoon,Hugh Laurie,Seth Rogen,Paul Rudd"
1726,"Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges,Shaun Toub"
44826,"Chloë Grace Moretz,Sacha Baron Cohen,Asa Butterfield,Ben Kingsley,Ray Winstone"
8487,"Kenneth Branagh,M. Emmet Walsh,Salma Hayek,Kevin Kline,Will Smith"
1735,"Brendan Fraser,John Hannah,Maria Bello,Luke Ford,Jet Li"
297761,"Margot Robbie,Joel Kinnaman,Viola Davis,Will Smith,Jared Leto"
2698,"John Michael Higgins,Lauren Graham,Jimmy Bennett,John Goodman,Steve Carell"
137113,"Brendan Gleeson,Jonas Armstrong,Bill Paxton,Emily Blunt,Tom Cruise"
9804,"Kevin Costner,Zitto Kazann,Rick Aviles"
14869,"Joseph Gordon-Levitt,Channing Tatum,Marlon Wayans,Sienna Miller,Dennis Quaid"
150540,"Phyllis Smith,Richard Kind,Lewis Black,Amy Poehler,Bill Hader"
278927,"Scarlett Johansson,Ben Kingsley,Bill Murray,Idris Elba,Neel Sethi"
10138,"Scarlett Johansson,Robert Downey Jr.,Gwyneth Paltrow,Mickey Rourke,Don Cheadle"
58595,"Chris Hemsworth,Charlize Theron,Kristen Stewart,Ian McShane,Sam Claflin"
102651,"Angelina Jolie,Sharlto Copley,Elle Fanning,Juno Temple,Sam Riley"
119450,"Keri Russell,Jason Clarke,Toby Kebbell,Gary Oldman,Andy Serkis"
79698,"Simone Kessell,Tamsin Egerton,Josh Hartnett,Alice Englert,Bipasha Basu"
64686,"Hiroyuki Sanada,Tadanobu Asano,Kou Shibasaki,Keanu Reeves,Min Tanaka"
100402,"Scarlett Johansson,Samuel L. Jackson,Sebastian Stan,Robert Redford,Chris Evans"
10192,"Antonio Banderas,Julie Andrews,Cameron Diaz,Eddie Murphy,Mike Myers"
158852,"Thomas Robinson,Britt Robertson,George Clooney,Raffey Cassidy,Hugh Laurie"
177572,"Daniel Henney,Scott Adsit,Ryan Potter,T.J. Miller,Jamie Chung"
82690,"Sarah Silverman,John C. Reilly,Jack McBrayer,Jane Lynch,Alan Tudyk"
5255,"Michael Jeter,Peter Scolari,Eddie Deezen,Tom Hanks,Nona Gaye"
47933,"Liam Hemsworth,Jeff Goldblum,Bill Pullman,Maika Monroe,Sela Ward"
10191,"America Ferrera,Craig Ferguson,Gerard Butler,Jay Baruchel,Jonah Hill"
296,"Arnold Schwarzenegger,Kristanna Loken,David Andrews,Claire Danes,Nick Stahl"
118340,"Bradley Cooper,Dave Bautista,Zoe Saldana,Chris Pratt,Vin Diesel"
157336,"Matthew McConaughey,Jessica Chastain,Michael Caine,Anne Hathaway,Casey Affleck"
27205,"Joseph Gordon-Levitt,Leonardo DiCaprio,Ken Watanabe,Ellen Page,Tom Hardy"
315011,"Yutaka Takenouchi,Satomi Ishihara,Hiroki Hasegawa,Matsuo Satoru,Kengo Kora"
49051,"Richard Armitage,Martin Freeman,Cate Blanchett,Ian McKellen,Andy Serkis"
9799,"Michelle Rodriguez,Jordana Brewster,Paul Walker,Vin Diesel,Rick Yune"
4922,"Cate Blanchett,Tilda Swinton,Elle Fanning,Julia Ormond,Brad Pitt"
49538,"Michael Fassbender,Jennifer Lawrence,James McAvoy,Kevin Bacon,Rose Byrne"
131634,"Jennifer Lawrence,Woody Harrelson,Elizabeth Banks,Josh Hutcherson,Liam Hemsworth"
27022,"Monica Bellucci,Alfred Molina,Teresa Palmer,Jay Baruchel,Nicolas Cage"
503,"Richard Dreyfuss,Jacinda Barrett,Kurt Russell,Emmy Rossum,Josh Lucas"
241259,"Helena Bonham Carter,Mia Wasikowska,Anne Hathaway,Alan Rickman,Johnny Depp"
810,"Antonio Banderas,Julie Andrews,Cameron Diaz,Eddie Murphy,Mike Myers"
68735,"Robert Kazinsky,Dominic Cooper,Travis Fimmel,Paula Patton,Ben Foster"
87101,"Arnold Schwarzenegger,Emilia Clarke,Jason Clarke,J.K. Simmons,Jai Courtney"
10140,"Skandar Keynes,Georgie Henley,Arthur Angel,Simon Pegg,Gary Sweet"
676,"Cuba Gooding Jr.,Kate Beckinsale,Josh Hartnett,Ben Affleck,Jon Voight"
1858,"Rachael Taylor,Tyrese Gibson,Josh Duhamel,Shia LaBeouf,Megan Fox"
1966,"Jonathan Rhys Meyers,Angelina Jolie,Colin Farrell,Jared Leto,Val Kilmer"
675,"Daniel Radcliffe,Michael Gambon,Ralph Fiennes,Rupert Grint,Emma Watson"
674,"Daniel Radcliffe,Michael Gambon,Ralph Fiennes,Rupert Grint,Emma Watson"
8960,"Charlize Theron,Jason Bateman,Eddie Marsan,Will Smith,Jae Head"
6479,"Salli Richardson-Whitfield,Charlie Tahan,Willow Smith,Alice Braga,Will Smith"
118,"Freddie Highmore,AnnaSophia Robb,Julia Winter,Johnny Depp,David Kelly"
2062,"Brian Dennehy,Patton Oswalt,Lou Romano,Peter Sohn,Ian Holm"
272,"Christian Bale,Michael Caine,Katie Holmes,Gary Oldman,Liam Neeson"
10527,"Cedric the Entertainer,Jada Pinkett Smith,David Schwimmer,Ben Stiller,Chris Rock"
18360,"Robin Williams,Owen Wilson,Ben Stiller,Hank Azaria,Amy Adams"
2080,"Liev Schreiber,Ryan Reynolds,Lynn Collins,Hugh Jackman,Danny Huston"
605,"Laurence Fishburne,Carrie-Anne Moss,Keanu Reeves,Hugo Weaving,Mary Alice"
109445,"Santino Fontana,Jonathan Groff,Kristen Bell,Idina Menzel,Josh Gad"
604,"Laurence Fishburne,Carrie-Anne Moss,Helmut Bakaitis,Keanu Reeves,Hugo Weaving"
76338,"Christopher Eccleston,Chris Hemsworth,Anthony Hopkins,Natalie Portman,Tom Hiddleston"
76341,"Hugh Keays-Byrne,Charlize Theron,Nicholas Hoult,Josh Helman,Tom Hardy"
13448,"Pierfrancesco Favino,Stellan Skarsgård,Ewan McGregor,Ayelet Zurer,Tom Hanks"
10195,"Stellan Skarsgård,Chris Hemsworth,Anthony Hopkins,Natalie Portman,Tom Hiddleston"
13053,"Malcolm McDowell,John Travolta,Susie Essman,Mark Walton,Miley Cyrus"
19585,"Penélope Cruz,Steve Buscemi,Sam Rockwell,Tracy Morgan,Jon Favreau"
57165,"Sam Worthington,Ralph Fiennes,Edgar Ramírez,Toby Kebbell,Liam Neeson"
62213,"Helena Bonham Carter,Jackie Earle Haley,Michelle Pfeiffer,Jonny Lee Miller,Johnny Depp"
177677,"Rebecca Ferguson,Jeremy Renner,Ving Rhames,Simon Pegg,Tom Cruise"
7978,"Benicio del Toro,Anthony Hopkins,Cristina Contes,Hugo Weaving,Emily Blunt"
5559,"Matthew Broderick,Patrick Warburton,Renée Zellweger,Jerry Seinfeld,Jim Cummings"
49444,"Angelina Jolie,Dustin Hoffman,Gary Oldman,Jackie Chan,Jack Black"
10196,"Jackson Rathbone,Nicola Peltz,Noah Ringer,Shaun Toub,Dev Patel"
956,"Philip Seymour Hoffman,Jonathan Rhys Meyers,Billy Crudup,Ving Rhames,Tom Cruise"
117251,"Maggie Gyllenhaal,Richard Jenkins,Channing Tatum,Jamie Foxx,Joey King"
50321,"Elisabeth Harnois,Breckin Meyer,Joan Cusack,Seth Green,Dan Fogler"
11619,"Ian McKellen,Kate Winslet,Hugh Jackman,Bill Nighy,Jean Reno"
266647,"Garrett Hedlund,Amanda Seyfried,Hugh Jackman,Levi Miller,Rooney Mara"
82703,"Allison Janney,Ariel Winter,Ellie Kemper,Max Charles,Ty Burrell"
652,"Orlando Bloom,Brad Pitt,Sean Bean,Brian Cox,Eric Bana"
80321,"Frances McDormand,Sacha Baron Cohen,David Schwimmer,Ben Stiller,Chris Rock"
36669,"Pierce Brosnan,Rosamund Pike,Toby Stephens,Halle Berry,Rick Yune"
43074,"Melissa McCarthy,Chris Hemsworth,Kate McKinnon,Leslie Jones,Kristen Wiig"
95,"Billy Bob Thornton,Bruce Willis,Ben Affleck,Will Patton,Liv Tyler"
608,"Lara Flynn Boyle,Johnny Knoxville,Tommy Lee Jones,Will Smith,Rip Torn"
2310,"Anthony Hopkins,John Malkovich,Angelina Jolie,Ray Winstone,Robin Wright"
140300,"Angelina Jolie,Dustin Hoffman,Bryan Cranston,J.K. Simmons,Jack Black"
56292,"Jeremy Renner,Paula Patton,Anil Kapoor,Simon Pegg,Tom Cruise"
81188,"Hugh Jackman,Alec Baldwin,Isla Fisher,Chris Pine,Jude Law"
7552,"Richard Jenkins,Alec Baldwin,Angie Harmon,Jim Carrey,Téa Leoni"
616,"William Atherton,Billy Connolly,Chad Lindberg,Ken Watanabe,Tom Cruise"
147441,"Christian Bale,Ben Mendelsohn,John Turturro,Joel Edgerton,Aaron Paul"
13475,"Bruce Greenwood,Zachary Quinto,Leonard Nimoy,Chris Pine,Eric Bana"
557,"Cliff Robertson,Kirsten Dunst,Tobey Maguire,Willem Dafoe,James Franco"
82702,"Cate Blanchett,Gerard Butler,Jay Baruchel,Kristen Wiig,Jonah Hill"
205584,"Nikolaj Coster-Waldau,Brenton Thwaites,Courtney Eaton,Gerard Butler,Elodie Yung"
10048,"Richard Roxburgh,Jessica Biel,Sam Shepard,Jamie Foxx,Josh Lucas"
13183,"Jeffrey Dean Morgan,Patrick Wilson,Malin Åkerman,Billy Crudup,Carla Gugino"
944,"Danny Glover,Mel Gibson,Rene Russo,Joe Pesci,Jet Li"
1927,"Jennifer Connelly,Sam Elliott,Josh Lucas,Nick Nolte,Eric Bana"
72559,"Adrianne Palicki,Dwayne Johnson,Bruce Willis,D.J. Cotrona,Ray Park"
7364,"Matthew McConaughey,William H. Macy,Penélope Cruz,Lennie James,Steve Zahn"
2114,"Donald Sutherland,Steve Buscemi,Alec Baldwin,Ving Rhames,Ming-Na Wen"
1771,"Tommy Lee Jones,Sebastian Stan,Hayley Atwell,Hugo Weaving,Chris Evans"
36643,"Denise Richards,Robbie Coltrane,Pierce Brosnan,Sophie Marceau,Robert Carlyle"
8619,"Russell Crowe,Joseph Morgan,Paul Bettany,James D'Arcy,Billy Boyd"
50620,"Elizabeth Reaser,Robert Pattinson,Kristen Stewart,Peter Facinelli,Taylor Lautner"
65759,"Johnny A. Sanchez,Robin Williams,Elijah Wood,E.G. Daily,Pink"
1724,"Tim Blake Nelson,Edward Norton,William Hurt,Liv Tyler,Tim Roth"
267935,"Jemaine Clement,Ruby Barnhill,Rebecca Hall,Mark Rylance,Bill Hader"
281957,"Leonardo DiCaprio,Domhnall Gleeson,Paul Anderson,Will Poulter,Tom Hardy"
77950,"Samuel L. Jackson,Ryan Reynolds,Paul Giamatti,Michael Peña,Luis Guzmán"
44896,"Alfred Molina,Johnny Depp,Isla Fisher,Bill Nighy,Ned Beatty"
270946,"Christopher Knights,John Malkovich,Conrad Vernon,Chris Miller,Tom McGrath"
2503,"David Strathairn,Paddy Considine,Julia Stiles,Scott Glenn,Matt Damon"
9502,"Angelina Jolie,Dustin Hoffman,Jackie Chan,Jack Black,Lucy Liu"
102899,"Evangeline Lilly,Michael Douglas,Bobby Cannavale,Corey Stoll,Paul Rudd"
101299,"Jennifer Lawrence,Woody Harrelson,Elizabeth Banks,Josh Hutcherson,Liam Hemsworth"
228161,"Jennifer Lopez,Steve Martin,Jim Parsons,Matt Jones,Rihanna"
74,"Justin Chatwin,Dakota Fanning,Miranda Otto,Tim Robbins,Tom Cruise"
8961,"Martin Lawrence,Gabrielle Union,Peter Stormare,Jordi Mollà,Will Smith"
417859,"Billy Bob Thornton,Zach Galifianakis,Antonio Banderas,Salma Hayek,Amy Sedaris"
27576,"Daniel Olbrychski,Chiwetel Ejiofor,Angelina Jolie,Liev Schreiber,August Diehl"
86834,"Jennifer Connelly,Anthony Hopkins,Russell Crowe,Logan Lerman,Emma Watson"
17578,"Daniel Craig,Andy Serkis,Simon Pegg,Jamie Bell,Nick Frost"
673,"Daniel Radcliffe,David Thewlis,Rupert Grint,Gary Oldman,Emma Watson"
6972,"Nicole Kidman,Hugh Jackman,David Wenham,Bryan Brown,Essie Davis"
82700,"Glenn Morshower,Sophie Okonedo,Jaden Smith,Zoë Kravitz,Will Smith"
10567,"Hayden Panettiere,Alfre Woodard,D. B. Sweeney,Ossie Davis,Max Casella"
181533,"Robin Williams,Rebel Wilson,Owen Wilson,Ben Stiller,Rami Malek"
38055,"Will Ferrell,David Cross,Jonah Hill,Brad Pitt,Tina Fey"
671,"Daniel Radcliffe,Richard Harris,Rupert Grint,Emma Watson,Tom Felton"
49524,"Mary-Louise Parker,Stephanie Szostak,Ryan Reynolds,Jeff Bridges,Kevin Bacon"
22,"Keira Knightley,Jack Davenport,Orlando Bloom,Geoffrey Rush,Johnny Depp"
131631,"Jennifer Lawrence,Donald Sutherland,Woody Harrelson,Josh Hutcherson,Liam Hemsworth"
591,"Audrey Tautou,Ian McKellen,Paul Bettany,Tom Hanks,Jean Reno"
172385,"Jesse Eisenberg,Anne Hathaway,Leslie Mann,Andy García,Jamie Foxx"
36658,"Patrick Stewart,Famke Janssen,Ian McKellen,Hugh Jackman,Halle Berry"
51497,"Jordana Brewster,Tyrese Gibson,Paul Walker,Vin Diesel,Ludacris"
58574,"Robert Downey Jr.,Jared Harris,Noomi Rapace,Kelly Reilly,Jude Law"
18823,"Sam Worthington,Gemma Arterton,Ralph Fiennes,Jason Flemyng,Liam Neeson"
861,"Arnold Schwarzenegger,Michael Ironside,Rachel Ticotin,Sharon Stone,Ronny Cox"
1911,"Antonio Banderas,Vladimir Kulich,Daniel Southern,Dennis Storhøi,Clive Russell"
49040,"Jeremy Renner,Edward Norton,Rachel Weisz,Scott Glenn,Stacy Keach"
415,"Arnold Schwarzenegger,Alicia Silverstone,Chris O'Donnell,George Clooney,Uma Thurman"
8871,"Christine Baranski,Jeffrey Tambor,Taylor Momsen,Jim Carrey,Bill Irwin"
435,"Jake Gyllenhaal,Jay O. Sanders,Dennis Quaid,Emmy Rossum,Dash Mihok"
955,"Richard Roxburgh,Thandie Newton,Dougray Scott,Ving Rhames,Tom Cruise"
2133,"William Fichtner,George Clooney,John C. Reilly,Mark Wahlberg,Diane Lane"
1979,"Michael Chiklis,Julian McMahon,Ioan Gruffudd,Jessica Alba,Chris Evans"
87827,"Adil Hussain,Suraj Sharma,Ayush Tandon,Gautam Belur,Irrfan Khan"
1250,"Nicolas Cage,Sam Elliott,Wes Bentley,Donal Logue,Eva Mendes"
324668,"Tommy Lee Jones,Alicia Vikander,Vincent Cassel,Julia Stiles,Matt Damon"
9471,"Drew Barrymore,Robert Patrick,Cameron Diaz,Bernie Mac,Lucy Liu"
70981,"Logan Marshall-Green,Michael Fassbender,Noomi Rapace,Guy Pearce,Idris Elba"
10996,"Jonathan Lipnicki,Michael J. Fox,Hugh Laurie,Geena Davis,Anna Hoelck"
68724,"Sharlto Copley,Jodie Foster,Alice Braga,Matt Damon,Diego Luna"
2789,"Thandie Newton,Linus Roache,Vin Diesel,Karl Urban,Colm Feore"
97020,"Jackie Earle Haley,Michael Keaton,Joel Kinnaman,Abbie Cornish,Gary Oldman"
7459,"Christina Ricci,Susan Sarandon,Emile Hirsch,Scott Porter,Matthew Fox"
42888,"Reese Witherspoon,Jack Nicholson,Kathryn Hahn,Owen Wilson,Paul Rudd"
37834,"Peter Sarsgaard,Cameron Diaz,Viola Davis,Jordi Mollà,Tom Cruise"
75612,"Nikolaj Coster-Waldau,Andrea Riseborough,Olga Kurylenko,Morgan Freeman,Tom Cruise"
1895,"Hayden Christensen,Samuel L. Jackson,Natalie Portman,Ewan McGregor,Ian McDiarmid"
1894,"Hayden Christensen,Samuel L. Jackson,Natalie Portman,Ewan McGregor,Ian McDiarmid"
585,"Steve Buscemi,Billy Crystal,John Goodman,James Coburn,Mary Gibbs"
76170,"Hiroyuki Sanada,Famke Janssen,Hugh Jackman,Will Yun Lee,Tao Okamoto"
1893,"Natalie Portman,Ewan McGregor,Ian McDiarmid,Liam Neeson,Jake Lloyd"
49519,"Catherine Keener,Cloris Leachman,Ryan Reynolds,Nicolas Cage,Emma Stone"
2395,"Stéphane Rousseau,Gérard Depardieu,Clovis Cornillac,Franck Dubosc,José Garcia"
12100,"Peter Stormare,Noah Emmerich,Mark Ruffalo,Nicolas Cage,Adam Beach"
290595,"Jessica Chastain,Chris Hemsworth,Charlize Theron,Emily Blunt,Nick Frost"
98566,"William Fichtner,Alan Ritchson,Will Arnett,Noel Fisher,Megan Fox"
49047,"Orto Ignatiussen,George Clooney,Sandra Bullock,Phaldut Sharma,Ed Harris"
9619,"Elizabeth Hoffman,Jamie Renée Smith,Pierce Brosnan,Linda Hamilton,Jeremy Foley"
308531,"Stephen Amell,Laura Linney,Pete Ploszek,Will Arnett,Megan Fox"
166424,"Michael B. Jordan,Toby Kebbell,Miles Teller,Jamie Bell,Kate Mara"
1593,"Robin Williams,Dick Van Dyke,Carla Gugino,Ben Stiller,Jake Cherry"
254128,"Alexandra Daddario,Dwayne Johnson,Archie Panjabi,Ioan Gruffudd,Carla Gugino"
714,"Pierce Brosnan,Jonathan Pryce,Michelle Yeoh,Teri Hatcher,Ricky Jay"
2024,"Joely Richardson,Heath Ledger,Tchéky Karyo,Jason Isaacs,Mel Gibson"
163,"Catherine Zeta-Jones,George Clooney,Julia Roberts,Andy García,Brad Pitt"
787,"Kerry Washington,Angelina Jolie,Vince Vaughn,Adam Brody,Brad Pitt"
262500,"Shailene Woodley,Kate Winslet,Miles Teller,Ansel Elgort,Theo James"
2567,"Leonardo DiCaprio,Kate Beckinsale,Cate Blanchett,John C. Reilly,Alec Baldwin"
38745,"Chris O'Dowd,Amanda Peet,Emily Blunt,Jason Segel,Jack Black"
40805,"Christoph Waltz,Edward Furlong,Cameron Diaz,Seth Rogen,Jay Chou"
53182,"Sullivan Stapleton,Callan Mulvey,David Wenham,Lena Headey,Eva Green"
41513,"Neil Patrick Harris,Sofía Vergara,Hank Azaria,Jayma Mays,Tim Gunn"
13700,"Jennifer Tilly,Steve Buscemi,Roseanne Barr,G. W. Bailey,Judi Dench"
262504,"Shailene Woodley,Miles Teller,Naomi Watts,Zoë Kravitz,Theo James"
39254,"Evangeline Lilly,Anthony Mackie,Hugh Jackman,Kevin Durand,Dakota Goyo"
77931,"Neil Patrick Harris,Jonathan Winters,Brendan Gleeson,Hank Azaria,Jayma Mays"
1639,"Temuera Morrison,Sandra Bullock,Willem Dafoe,Jason Patric,Mike Hagerty"
80274,"Hailee Steinfeld,Asa Butterfield,Abigail Breslin,Harrison Ford,Ben Kingsley"
1571,"Timothy Olyphant,Bruce Willis,Cliff Curtis,Justin Long,Maggie Q"
120,"Cate Blanchett,Orlando Bloom,Ian McKellen,Elijah Wood,Sean Bean"
10204,"Cécile de France,Jim Broadbent,Steve Coogan,Jackie Chan,Robert Fyfe"
8489,"Mario Van Peebles,Will Smith,Jamie Foxx,Jon Voight,Ron Silver"
10588,"Spencer Breslin,Dakota Fanning,Kelly Preston,Alec Baldwin,Mike Myers"
2048,"Bridget Moynahan,Bruce Greenwood,James Cromwell,Will Smith,Alan Tudyk"
1495,"Brendan Gleeson,Orlando Bloom,Marton Csokas,Jeremy Irons,Eva Green"
10137,"Jonathan Lipnicki,Michael J. Fox,Hugh Laurie,Geena Davis,Nathan Lane"
10198,"Michael-Leon Wooley,Anika Noni Rose,Jennifer Cody,Bruno Campos,Keith David"
286217,"Jessica Chastain,Kristen Wiig,Michael Peña,Jeff Daniels,Matt Damon"
1635,"Scarlett Johansson,Djimon Hounsou,Steve Buscemi,Ewan McGregor,Sean Bean"
24113,"Andie MacDowell,Garry Shandling,Warren Beatty,Diane Keaton,Goldie Hawn"
9679,"Giovanni Ribisi,Angelina Jolie,Delroy Lindo,Nicolas Cage,Will Patton"
98,"Joaquin Phoenix,Richard Harris,Connie Nielsen,Russell Crowe,Oliver Reed"
180,"Samantha Morton,Max von Sydow,Colin Farrell,Tom Cruise,Lois Smith"
672,"Daniel Radcliffe,Richard Harris,Rupert Grint,Alan Rickman,Emma Watson"
36557,"Jeffrey Wright,Mads Mikkelsen,Daniel Craig,Judi Dench,Eva Green"
869,"Michael Clarke Duncan,Helena Bonham Carter,Kris Kristofferson,Mark Wahlberg,Tim Roth"
280,"Arnold Schwarzenegger,Michael Edwards,Robert Patrick,Linda Hamilton,Edward Furlong"
11322,"Marion Cotillard,Giovanni Ribisi,Christian Bale,Billy Crudup,Johnny Depp"
4982,"Denzel Washington,Chiwetel Ejiofor,Russell Crowe,Lymari Nadal,Josh Brolin"
36955,"Arnold Schwarzenegger,Jamie Lee Curtis,Bill Paxton,Tia Carrere,Tom Arnold"
18487,"Denzel Washington,John Turturro,John Travolta,Victor Gojcaj,Luis Guzmán"
39451,"Barbra Streisand,Dustin Hoffman,Robert De Niro,Owen Wilson,Ben Stiller"
27581,"Samuel L. Jackson,Dwayne Johnson,Mark Wahlberg,Will Ferrell,Eva Mendes"
9268,"Arnold Schwarzenegger,Robert Pastorelli,Vanessa Williams,James Coburn,James Caan"
68718,"Leonardo DiCaprio,Samuel L. Jackson,Kerry Washington,Christoph Waltz,Jamie Foxx"
10545,"Kevin Kline,Paul Kandel,Demi Moore,Tom Hulce,Tony Jay"
11688,"Patrick Warburton,Wendie Malick,John Goodman,David Spade,Eartha Kitt"
76163,"Arnold Schwarzenegger,Sylvester Stallone,Dolph Lundgren,Jason Statham,Bruce Willis"
