movie_id,org_lang,org_lang_name,spk_lang,spk_lang_name
258489,en,English,en,English
411,en,English,en,English
411,en,English,de,Deutsch
246655,en,English,en,English
155,en,English,en,English
155,en,English,zh,普通话
14160,en,English,en,English
15512,en,English,en,English
1726,en,English,en,English
1726,en,English,fa,فارسی
1726,en,English,ur,اردو
1726,en,English,ar,العربية
44826,en,English,en,English
8487,en,English,en,English
1735,en,English,en,English
1735,en,English,zh,普通话
1735,en,English,sa,Sanskrit
297761,en,English,en,English
2698,en,English,en,English
137113,en,English,en,English
9804,en,English,en,English
9804,en,English,de,Deutsch
9804,en,English,es,Español
14869,en,English,en,English
14869,en,English,fr,Français
14869,en,English,gd,"Gaelic, Scottish Gaelic"
150540,en,English,en,English
278927,en,English,en,English
10138,en,English,en,English
10138,en,English,ru,Pусский
10138,en,English,fr,Français
58595,en,English,en,English
102651,en,English,en,English
119450,en,English,en,English
79698,en,English,en,English
64686,en,English,en,English
64686,en,English,ja,日本語
100402,en,English,en,English
10192,en,English,en,English
158852,en,English,en,English
177572,en,English,en,English
82690,en,English,en,English
5255,en,English,en,English
47933,en,English,en,English
10191,en,English,en,English
296,en,English,en,English
118340,en,English,en,English
157336,en,English,en,English
27205,en,English,en,English
27205,en,English,ja,日本語
27205,en,English,fr,Français
315011,ja,日本語,it,Italiano
315011,ja,日本語,de,Deutsch
315011,ja,日本語,en,English
315011,ja,日本語,ja,日本語
49051,en,English,en,English
9799,en,English,en,English
4922,en,English,en,English
49538,en,English,de,Deutsch
49538,en,English,en,English
49538,en,English,es,Español
49538,en,English,fr,Français
49538,en,English,ru,Pусский
131634,en,English,en,English
27022,en,English,en,English
503,en,English,en,English
503,en,English,es,Español
241259,en,English,en,English
810,en,English,fr,Français
68735,en,English,en,English
87101,en,English,en,English
10140,en,English,en,English
676,en,English,fr,Français
676,en,English,en,English
676,en,English,ja,日本語
1858,en,English,es,Español
1858,en,English,en,English
1966,en,English,en,English
675,en,English,en,English
674,en,English,en,English
674,en,English,fr,Français
8960,en,English,en,English
8960,en,English,ja,日本語
6479,en,English,en,English
118,en,English,en,English
2062,en,English,en,English
272,en,English,en,English
272,en,English,ur,اردو
272,en,English,zh,普通话
10527,en,English,en,English
10527,en,English,it,Italiano
10527,en,English,th,ภาษาไทย
18360,en,English,en,English
2080,en,English,en,English
605,en,English,en,English
605,en,English,fr,Français
109445,en,English,en,English
604,en,English,en,English
76338,en,English,en,English
76341,en,English,en,English
13448,en,English,en,English
13448,en,English,it,Italiano
13448,en,English,la,Latin
13448,en,English,fr,Français
13448,en,English,de,Deutsch
13448,en,English,zh,普通话
10195,en,English,en,English
13053,en,English,en,English
19585,en,English,en,English
57165,en,English,en,English
62213,en,English,en,English
177677,en,English,de,Deutsch
177677,en,English,en,English
177677,en,English,sv,svenska
7978,en,English,en,English
5559,en,English,en,English
49444,en,English,en,English
10196,en,English,en,English
956,en,English,de,Deutsch
956,en,English,en,English
956,en,English,it,Italiano
956,en,English,zh,普通话
956,en,English,cs,Český
956,en,English,cn,广州话 / 廣州話
117251,en,English,en,English
50321,en,English,en,English
11619,en,English,en,English
266647,en,English,en,English
82703,en,English,en,English
652,en,English,en,English
80321,en,English,en,English
80321,en,English,es,Español
80321,en,English,th,ภาษาไทย
36669,en,English,en,English
36669,en,English,ko,한국어/조선말
36669,en,English,cn,广州话 / 廣州話
36669,en,English,de,Deutsch
36669,en,English,es,Español
36669,en,English,is,Íslenska
36669,en,English,it,Italiano
43074,en,English,en,English
95,en,English,en,English
95,en,English,ru,Pусский
608,en,English,en,English
2310,en,English,en,English
140300,en,English,en,English
56292,en,English,en,English
56292,en,English,ru,Pусский
56292,en,English,fr,Français
56292,en,English,ar,العربية
56292,en,English,sv,svenska
81188,en,English,fr,Français
81188,en,English,en,English
7552,en,English,en,English
616,en,English,en,English
616,en,English,ja,日本語
147441,en,English,en,English
13475,en,English,en,English
557,en,English,en,English
82702,en,English,en,English
205584,en,English,en,English
10048,en,English,en,English
10048,en,English,de,Deutsch
10048,en,English,ko,한국어/조선말
10048,en,English,ru,Pусский
10048,en,English,es,Español
13183,en,English,en,English
944,en,English,en,English
944,en,English,cn,广州话 / 廣州話
944,en,English,zh,普通话
1927,en,English,en,English
1927,en,English,es,Español
72559,en,English,en,English
7364,en,English,en,English
7364,en,English,fr,Français
7364,en,English,ar,العربية
2114,en,English,en,English
1771,en,English,fr,Français
1771,en,English,no,Norsk
1771,en,English,en,English
36643,en,English,en,English
36643,en,English,ru,Pусский
8619,en,English,fr,Français
8619,en,English,pt,Português
8619,en,English,en,English
50620,en,English,en,English
65759,en,English,en,English
1724,en,English,pt,Português
1724,en,English,es,Español
1724,en,English,en,English
267935,en,English,en,English
281957,en,English,en,English
281957,en,English,fr,Français
77950,en,English,en,English
44896,en,English,en,English
270946,en,English,en,English
2503,en,English,en,English
2503,en,English,fr,Français
2503,en,English,ar,العربية
2503,en,English,ru,Pусский
2503,en,English,es,Español
9502,en,English,en,English
102899,en,English,en,English
101299,en,English,en,English
228161,en,English,en,English
74,en,English,en,English
8961,en,English,en,English
8961,en,English,es,Español
417859,en,English,es,Español
417859,en,English,en,English
27576,en,English,en,English
27576,en,English,ru,Pусский
27576,en,English,ko,한국어/조선말
86834,en,English,en,English
17578,en,English,en,English
673,en,English,en,English
6972,en,English,en,English
6972,en,English,ja,日本語
82700,en,English,en,English
10567,en,English,en,English
181533,en,English,en,English
38055,en,English,en,English
671,en,English,en,English
49524,en,English,en,English
22,en,English,en,English
131631,en,English,en,English
591,en,English,en,English
591,en,English,fr,Français
591,en,English,la,Latin
591,en,English,es,Español
172385,en,English,en,English
172385,en,English,pt,Português
36658,en,English,en,English
36658,en,English,de,Deutsch
36658,en,English,it,Italiano
51497,en,English,en,English
51497,en,English,es,Español
51497,en,English,pt,Português
51497,en,English,it,Italiano
58574,en,English,en,English
18823,en,English,en,English
861,en,English,en,English
1911,en,English,en,English
1911,en,English,no,Norsk
49040,en,English,en,English
49040,en,English,ru,Pусский
415,en,English,en,English
8871,en,English,en,English
435,en,English,en,English
435,en,English,ja,日本語
435,en,English,fr,Français
435,en,English,ar,العربية
435,en,English,es,Español
955,en,English,en,English
2133,en,English,en,English
1979,en,English,en,English
1979,en,English,ja,日本語
1979,en,English,ar,العربية
1979,en,English,zh,普通话
87827,en,English,zh,普通话
87827,en,English,en,English
87827,en,English,fr,Français
87827,en,English,hi,हिन्दी
87827,en,English,ja,日本語
87827,en,English,ta,தமிழ்
1250,en,English,en,English
324668,en,English,en,English
9471,en,English,en,English
9471,en,English,zh,普通话
9471,en,English,es,Español
70981,en,English,gd,"Gaelic, Scottish Gaelic"
70981,en,English,en,English
10996,en,English,en,English
68724,en,English,en,English
2789,en,English,en,English
97020,en,English,en,English
7459,en,English,en,English
42888,en,English,en,English
37834,en,English,en,English
37834,en,English,de,Deutsch
37834,en,English,es,Español
75612,en,English,en,English
1895,en,English,en,English
1894,en,English,en,English
585,en,English,en,English
76170,en,English,en,English
1893,en,English,en,English
49519,en,English,en,English
2395,fr,Français,fr,Français
2395,fr,Français,pt,Português
12100,en,English,en,English
12100,en,English,ja,日本語
12100,en,English,nv,"Navajo, Navaho"
290595,en,English,en,English
98566,en,English,en,English
49047,en,English,en,English
9619,en,English,en,English
308531,en,English,en,English
166424,en,English,en,English
1593,en,English,en,English
1593,en,English,it,Italiano
1593,en,English,he,עִבְרִית
254128,en,English,en,English
714,en,English,de,Deutsch
714,en,English,en,English
714,en,English,da,Dansk
714,en,English,zh,普通话
714,en,English,cn,广州话 / 廣州話
2024,en,English,en,English
163,en,English,fr,Français
163,en,English,it,Italiano
163,en,English,nl,Nederlands
163,en,English,zh,普通话
163,en,English,en,English
787,en,English,en,English
787,en,English,es,Español
262500,en,English,en,English
2567,en,English,en,English
38745,en,English,en,English
40805,en,English,en,English
40805,en,English,zh,普通话
53182,en,English,en,English
41513,en,English,en,English
13700,en,English,zh,普通话
13700,en,English,en,English
262504,en,English,en,English
39254,en,English,en,English
77931,en,English,en,English
1639,en,English,en,English
1639,en,English,pt,Português
80274,en,English,en,English
1571,en,English,en,English
1571,en,English,it,Italiano
1571,en,English,fr,Français
120,en,English,en,English
10204,en,English,de,Deutsch
10204,en,English,en,English
10204,en,English,fr,Français
10204,en,English,hi,हिन्दी
10204,en,English,tr,Türkçe
10204,en,English,cn,广州话 / 廣州話
8489,en,English,en,English
10588,en,English,en,English
2048,en,English,en,English
1495,en,English,ar,العربية
1495,en,English,en,English
1495,en,English,it,Italiano
1495,en,English,la,Latin
10137,en,English,en,English
10198,en,English,fr,Français
10198,en,English,en,English
286217,en,English,en,English
286217,en,English,zh,普通话
1635,en,English,en,English
24113,en,English,en,English
9679,en,English,en,English
98,en,English,en,English
180,en,English,en,English
180,en,English,sv,svenska
672,en,English,en,English
36557,en,English,en,English
36557,en,English,fr,Français
869,en,English,en,English
280,en,English,en,English
280,en,English,es,Español
11322,en,English,en,English
4982,en,English,en,English
36955,en,English,en,English
36955,en,English,fr,Français
36955,en,English,ar,العربية
36955,en,English,de,Deutsch
18487,en,English,en,English
39451,en,English,en,English
27581,en,English,en,English
9268,en,English,en,English
68718,en,English,en,English
68718,en,English,fr,Français
68718,en,English,de,Deutsch
10545,en,English,la,Latin
10545,en,English,en,English
11688,en,English,en,English
76163,en,English,en,English
2059,en,English,la,Latin
2059,en,English,en,English
2059,en,English,es,Español
2486,en,English,en,English
16523,en,English,en,English
116711,en,English,en,English
37710,en,English,en,English
37710,en,English,fr,Français
37710,en,English,it,Italiano
37710,en,English,ru,Pусский
37710,en,English,es,Español
9946,en,English,en,English
9946,en,English,it,Italiano
9946,en,English,la,Latin
1372,en,English,af,Afrikaans
1372,en,English,en,English
106646,en,English,fr,Français
106646,en,English,en,English
414,en,English,en,English
563,en,English,en,English
83542,en,English,en,English
41216,en,English,en,English
314,en,English,es,Español
314,en,English,en,English
184315,en,English,en,English
9016,en,English,en,English
18162,en,English,en,English
138103,en,English,en,English
257088,en,English,en,English
10214,en,English,en,English
205775,en,English,en,English
11692,en,English,en,English
22972,en,English,en,English
22972,en,English,ar,العربية
227973,en,English,en,English
29193,en,English,en,English
1734,en,English,en,English
1734,en,English,ar,العربية
3131,en,English,en,English
3131,en,English,ga,Gaeilge
3131,en,English,la,Latin
3131,en,English,zh,普通话
76758,zh,普通话,zh,普通话
76758,zh,普通话,ja,日本語
76758,zh,普通话,en,English
9408,en,English,en,English
9890,en,English,en,English
855,en,English,en,English
855,en,English,so,Somali
77953,en,English,en,English
18,en,English,en,English
18,en,English,sv,svenska
18,en,English,de,Deutsch
37786,en,English,en,English
37786,en,English,ar,العربية
10501,en,English,en,English
57800,en,English,en,English
150689,en,English,en,English
7980,en,English,en,English
12,en,English,en,English
122,en,English,en,English
121,en,English,en,English
68737,en,English,en,English
1995,en,English,en,English
157353,en,English,en,English
331,en,English,en,English
331,en,English,es,Español
61791,en,English,en,English
8204,en,English,en,English
47964,en,English,en,English
47964,en,English,ru,Pусский
10733,en,English,en,English
10733,en,English,es,Español
9806,en,English,fr,Français
9806,en,English,en,English
1408,en,English,en,English
1408,en,English,la,Latin
32657,en,English,en,English
607,en,English,en,English
607,en,English,es,Español
863,en,English,en,English
44048,en,English,en,English
5175,en,English,cn,广州话 / 廣州話
5175,en,English,en,English
5175,en,English,zh,普通话
2655,en,English,en,English
22794,en,English,en,English
8355,en,English,en,English
116745,en,English,en,English
4327,en,English,en,English
4327,en,English,de,Deutsch
4327,en,English,fi,suomi
4327,en,English,ja,日本語
4327,en,English,cn,广州话 / 廣州話
1422,en,English,en,English
1422,en,English,cn,广州话 / 廣州話
10674,en,English,en,English
10674,en,English,zh,普通话
7446,en,English,en,English
7446,en,English,zh,普通话
65754,en,English,en,English
1572,en,English,en,English
1572,en,English,de,Deutsch
1572,en,English,ro,Română
10528,en,English,en,English
10528,en,English,fr,Français
271969,en,English,en,English
10865,en,English,en,English
10865,en,English,fr,Français
10865,en,English,es,Español
258509,en,English,en,English
2253,en,English,en,English
2253,en,English,de,Deutsch
10661,en,English,en,English
10661,en,English,he,עִבְרִית
257344,en,English,en,English
644,en,English,en,English
10756,en,English,en,English
686,en,English,en,English
9383,en,English,en,English
179,en,English,en,English
179,en,English,fr,Français
179,en,English,pt,Português
76285,en,English,en,English
1996,en,English,en,English
1996,en,English,zh,普通话
291805,en,English,zh,普通话
291805,en,English,en,English
10003,en,English,en,English
10003,en,English,ru,Pусский
1535,en,English,cn,广州话 / 廣州話
1535,en,English,en,English
1535,en,English,de,Deutsch
1535,en,English,ar,العربية
1535,en,English,fr,Français
2067,en,English,en,English
46195,en,English,en,English
46195,en,English,pt,Português
2277,en,English,en,English
10357,en,English,de,Deutsch
10357,en,English,es,Español
10357,en,English,en,English
4477,en,English,en,English
8665,en,English,en,English
9387,en,English,en,English
921,en,English,en,English
49852,en,English,da,Dansk
49852,en,English,en,English
4464,en,English,en,English
664,en,English,en,English
8358,en,English,ru,Pусский
8358,en,English,en,English
9836,en,English,en,English
2502,en,English,en,English
2502,en,English,ru,Pусский
2502,en,English,de,Deutsch
2502,en,English,it,Italiano
9772,en,English,en,English
9772,en,English,ru,Pусский
161,en,English,it,Italiano
161,en,English,en,English
52451,en,English,en,English
76492,en,English,en,English
4523,en,English,en,English
59961,en,English,en,English
59961,en,English,af,Afrikaans
59961,en,English,es,Español
10481,en,English,en,English
59108,en,English,en,English
1581,en,English,en,English
9798,en,English,en,English
22897,en,English,en,English
22897,en,English,fr,Français
298,en,English,es,Español
298,en,English,en,English
298,en,English,fr,Français
7484,en,English,en,English
157350,en,English,en,English
853,en,English,de,Deutsch
853,en,English,en,English
853,en,English,ru,Pусский
10159,en,English,pt,Português
10159,en,English,en,English
9593,en,English,en,English
1904,en,English,en,English
1904,en,English,ja,日本語
9615,en,English,en,English
9615,en,English,ja,日本語
51052,en,English,en,English
297,en,English,en,English
9884,en,English,en,English
9884,en,English,es,Español
16858,en,English,en,English
62764,en,English,en,English
22538,en,English,en,English
9341,en,English,en,English
12107,en,English,en,English
9637,en,English,en,English
49049,en,English,en,English
9339,en,English,en,English
9339,en,English,pt,Português
9339,en,English,ja,日本語
16281,en,English,en,English
16281,en,English,it,Italiano
39691,en,English,en,English
39691,en,English,th,ภาษาไทย
8247,en,English,fr,Français
11253,en,English,en,English
1949,en,English,en,English
8452,en,English,en,English
310,en,English,en,English
27578,en,English,en,English
27578,en,English,es,Español
954,en,English,en,English
954,en,English,fr,Français
954,en,English,cs,Český
70160,en,English,en,English
45243,en,English,en,English
45243,en,English,th,ภาษาไทย
364,en,English,en,English
7518,en,English,en,English
11544,en,English,en,English
9986,en,English,en,English
8656,en,English,en,English
146216,en,English,en,English
146216,en,English,fr,Français
146216,en,English,ru,Pусский
9291,en,English,en,English
55301,en,English,en,English
109418,en,English,en,English
11665,en,English,en,English
11665,en,English,ru,Pусский
6964,en,English,fr,Français
6964,en,English,en,English
11324,en,English,en,English
11324,en,English,de,Deutsch
12193,en,English,en,English
9928,en,English,en,English
9928,en,English,it,Italiano
754,en,English,en,English
754,en,English,la,Latin
10202,en,English,en,English
4147,en,English,en,English
50546,en,English,en,English
1701,en,English,en,English
13027,en,English,en,English
2289,en,English,en,English
20504,en,English,en,English
9574,en,English,en,English
11618,en,English,en,English
2300,en,English,en,English
12096,en,English,en,English
10200,en,English,zh,普通话
10200,en,English,en,English
8834,en,English,en,English
228150,en,English,en,English
6068,en,English,en,English
6068,en,English,de,Deutsch
6068,en,English,th,ภาษาไทย
41515,en,English,en,English
9023,en,English,en,English
38317,en,English,en,English
2157,en,English,en,English
14462,en,English,en,English
159824,en,English,en,English
159824,en,English,th,ภาษาไทย
49948,en,English,en,English
2135,en,English,en,English
9822,en,English,sw,Kiswahili
9822,en,English,en,English
9705,en,English,de,Deutsch
9705,en,English,en,English
1656,en,English,en,English
1656,en,English,it,Italiano
1656,en,English,es,Español
12159,en,English,en,English
9678,en,English,en,English
9678,en,English,fr,Français
4442,en,English,en,English
4442,en,English,fr,Français
4442,en,English,de,Deutsch
4442,en,English,it,Italiano
75,en,English,en,English
75,en,English,fr,Français
330770,fr,Français,fr,Français
19959,en,English,en,English
19959,en,English,fr,Français
11973,en,English,en,English
11973,en,English,ru,Pусский
11228,en,English,en,English
77951,en,English,en,English
5491,en,English,en,English
5491,en,English,fr,Français
10715,en,English,en,English
10197,en,English,en,English
10197,en,English,fr,Français
10197,en,English,it,Italiano
9562,en,English,en,English
9562,en,English,fr,Français
9922,en,English,en,English
9922,en,English,fr,Français
9447,en,English,en,English
274854,en,English,en,English
8870,en,English,en,English
9992,en,English,en,English
36970,en,English,fr,Français
10077,en,English,en,English
10077,en,English,zh,普通话
76649,en,English,en,English
453,en,English,en,English
8587,en,English,en,English
72545,en,English,en,English
109451,en,English,en,English
9533,en,English,en,English
2023,en,English,en,English
71880,en,English,en,English
584,en,English,en,English
584,en,English,es,Español
309809,en,English,en,English
4858,en,English,ru,Pусский
4858,en,English,en,English
17711,en,English,ru,Pусский
328111,en,English,en,English
8698,en,English,en,English
8698,en,English,de,Deutsch
8698,en,English,it,Italiano
93456,en,English,en,English
602,en,English,en,English
330,en,English,en,English
953,en,English,en,English
953,en,English,fr,Français
953,en,English,pt,Português
953,en,English,es,Español
953,en,English,th,ภาษาไทย
9693,en,English,en,English
36657,en,English,en,English
8909,en,English,en,English
9802,en,English,en,English
950,en,English,en,English
1824,en,English,en,English
2976,en,English,en,English
11026,en,English,en,English
332,en,English,en,English
332,en,English,no,Norsk
332,en,English,fr,Français
332,en,English,es,Español
75656,en,English,fr,Français
75656,en,English,en,English
38365,en,English,en,English
594,en,English,bg,български език
594,en,English,en,English
594,en,English,fr,Français
594,en,English,ru,Pусский
594,en,English,es,Español
15189,en,English,en,English
11678,en,English,en,English
11678,en,English,ur,اردو
6538,en,English,ar,العربية
6538,en,English,en,English
6538,en,English,ru,Pусский
6538,en,English,ur,اردو
6538,en,English,he,עִבְרִית
10555,en,English,en,English
1125,en,English,en,English
4551,en,English,en,English
4551,en,English,ru,Pусский
612,en,English,ar,العربية
612,en,English,de,Deutsch
612,en,English,el,ελληνικά
612,en,English,en,English
612,en,English,fr,Français
612,en,English,he,עִבְרִית
612,en,English,it,Italiano
612,en,English,ru,Pусский
9567,en,English,en,English
37821,en,English,en,English
203801,en,English,it,Italiano
203801,en,English,en,English
203801,en,English,ru,Pусский
203801,en,English,de,Deutsch
2539,en,English,es,Español
2539,en,English,en,English
9297,en,English,en,English
3172,en,English,en,English
6520,en,English,en,English
6520,en,English,fr,Français
1439,en,English,en,English
1439,en,English,th,ภาษาไทย
37958,en,English,el,ελληνικά
37958,en,English,en,English
2026,en,English,en,English
7450,en,English,en,English
7450,en,English,zh,普通话
11375,en,English,en,English
9425,en,English,en,English
23685,en,English,en,English
11866,en,English,en,English
9741,en,English,en,English
211672,en,English,en,English
23629,en,English,en,English
23629,en,English,de,Deutsch
8688,en,English,cs,Český
8688,en,English,en,English
10153,en,English,en,English
153518,en,English,en,English
8676,en,English,en,English
20829,en,English,en,English
4349,en,English,ar,العربية
4349,en,English,en,English
9718,en,English,en,English
10808,en,English,en,English
197,en,English,en,English
197,en,English,fr,Français
197,en,English,la,Latin
197,en,English,gd,"Gaelic, Scottish Gaelic"
25,en,English,en,English
25,en,English,es,Español
25,en,English,ar,العربية
25,en,English,la,Latin
35,en,English,en,English
11086,en,English,en,English
10477,en,English,en,English
10477,en,English,de,Deutsch
10477,en,English,es,Español
1997,en,English,en,English
1997,en,English,fr,Français
1997,en,English,th,ภาษาไทย
6947,en,English,en,English
3050,en,English,en,English
2675,en,English,en,English
2675,en,English,pt,Português
809,en,English,en,English
920,en,English,en,English
920,en,English,it,Italiano
920,en,English,ja,日本語
920,en,English,yi,Yiddish
4806,en,English,en,English
7451,en,English,cs,Český
7451,en,English,en,English
7451,en,English,de,Deutsch
7451,en,English,es,Español
7451,en,English,ru,Pусский
228165,en,English,en,English
3595,en,English,en,English
16869,en,English,de,Deutsch
16869,en,English,en,English
16869,en,English,fr,Français
16869,en,English,it,Italiano
879,en,English,en,English
1573,en,English,en,English
1573,en,English,es,Español
9257,en,English,en,English
9257,en,English,es,Español
9257,en,English,fr,Français
1903,en,English,en,English
9697,en,English,en,English
395,en,English,it,Italiano
395,en,English,en,English
23398,en,English,en,English
23398,en,English,fr,Français
10590,en,English,en,English
10590,en,English,vi,Tiếng Việt
10590,en,English,fr,Français
117263,en,English,en,English
117263,en,English,ko,한국어/조선말
200,en,English,en,English
44943,en,English,en,English
587,en,English,en,English
10395,en,English,en,English
57212,en,English,en,English
152760,en,English,en,English
152760,en,English,de,Deutsch
152760,en,English,ru,Pусский
152760,en,English,fr,Français
2756,en,English,en,English
33909,en,English,en,English
49017,en,English,en,English
9882,en,English,es,Español
9882,en,English,en,English
9882,en,English,ar,العربية
2270,en,English,en,English
978,en,English,en,English
44564,en,English,en,English
3132,en,English,en,English
8814,en,English,ja,日本語
8814,en,English,en,English
8427,en,English,en,English
8427,en,English,hu,Magyar
8427,en,English,ru,Pусский
52520,en,English,en,English
52520,en,English,ru,Pусский
80585,en,English,en,English
80585,en,English,th,ภาษาไทย
10592,en,English,en,English
10592,en,English,de,Deutsch
49021,en,English,en,English
11535,en,English,de,Deutsch
11535,en,English,fr,Français
11535,en,English,ja,日本語
11535,en,English,ko,한국어/조선말
11535,en,English,ru,Pусский
11535,en,English,ar,العربية
11535,en,English,en,English
10550,en,English,en,English
10550,en,English,es,Español
11258,en,English,en,English
12610,en,English,en,English
59981,en,English,en,English
201088,en,English,en,English
201088,en,English,it,Italiano
201088,en,English,zh,普通话
201088,en,English,es,Español
5137,en,English,bo,Tibetan
5137,en,English,de,Deutsch
5137,en,English,en,English
3093,en,English,en,English
3093,en,English,de,Deutsch
107846,en,English,en,English
107846,en,English,de,Deutsch
107846,en,English,ar,العربية
107846,en,English,ur,اردو
188207,en,English,en,English
4614,en,English,ar,العربية
4614,en,English,en,English
4614,en,English,ru,Pусский
4614,en,English,uk,Український
4614,en,English,de,Deutsch
24021,en,English,en,English
11371,en,English,en,English
11371,en,English,fr,Français
20352,en,English,en,English
11517,en,English,en,English
214756,en,English,en,English
26428,en,English,en,English
9824,en,English,en,English
48988,en,English,en,English
9008,en,English,ar,العربية
9008,en,English,en,English
9008,en,English,ja,日本語
9008,en,English,fa,فارسی
300673,en,English,en,English
12113,en,English,ar,العربية
12113,en,English,en,English
38778,en,English,en,English
72331,en,English,en,English
1844,en,English,en,English
846,en,English,en,English
9703,en,English,en,English
857,en,English,cs,Český
857,en,English,de,Deutsch
857,en,English,en,English
857,en,English,fr,Français
136797,en,English,en,English
3981,en,English,en,English
3981,en,English,fr,Français
425,en,English,en,English
6171,en,English,en,English
72976,en,English,en,English
603,en,English,en,English
568,en,English,en,English
9021,en,English,en,English
82695,en,English,en,English
9489,en,English,en,English
12133,en,English,en,English
12133,en,English,es,Español
9342,en,English,en,English
41733,en,English,en,English
41733,en,English,es,Español
227306,en,English,it,Italiano
227306,en,English,en,English
227306,en,English,ja,日本語
5551,en,English,en,English
9350,en,English,en,English
9208,en,English,en,English
4244,en,English,en,English
1852,en,English,en,English
11820,en,English,en,English
76493,en,English,en,English
76493,en,English,he,עִבְרִית
345,en,English,en,English
196867,en,English,en,English
256591,en,English,en,English
59962,en,English,en,English
36648,en,English,eo,Esperanto
36648,en,English,en,English
1880,en,English,en,English
1880,en,English,ru,Pусский
1880,en,English,es,Español
9440,en,English,en,English
71679,en,English,en,English
10483,en,English,en,English
11412,en,English,en,English
11983,en,English,en,English
6795,en,English,en,English
550,en,English,en,English
11170,en,English,en,English
9292,en,English,en,English
9292,en,English,it,Italiano
10783,en,English,en,English
100241,en,English,en,English
257,en,English,en,English
9947,en,English,en,English
9947,en,English,ja,日本語
189,en,English,en,English
12618,en,English,en,English
253412,en,English,en,English
1427,en,English,en,English
818,en,English,en,English
818,en,English,ja,日本語
818,en,English,de,Deutsch
818,en,English,fr,Français
16577,en,English,en,English
329,en,English,en,English
329,en,English,es,Español
12160,en,English,en,English
9331,en,English,en,English
300168,zh,普通话,en,English
300168,zh,普通话,zh,普通话
9072,en,English,en,English
3536,en,English,en,English
3536,en,English,fr,Français
3536,en,English,de,Deutsch
3536,en,English,ru,Pусский
9087,en,English,en,English
12177,en,English,en,English
12138,en,English,en,English
273248,en,English,es,Español
273248,en,English,en,English
9955,en,English,en,English
9955,en,English,ja,日本語
50359,en,English,en,English
50359,en,English,ja,日本語
50359,en,English,th,ภาษาไทย
1271,en,English,en,English
693,en,English,en,English
14306,en,English,en,English
497,en,English,fr,Français
497,en,English,en,English
11199,en,English,en,English
9982,en,English,en,English
210577,en,English,en,English
2501,en,English,en,English
2501,en,English,fr,Français
2501,en,English,de,Deutsch
2501,en,English,nl,Nederlands
2501,en,English,it,Italiano
710,en,English,en,English
710,en,English,ru,Pусский
710,en,English,es,Español
2275,en,English,en,English
37165,en,English,en,English
9837,en,English,he,עִבְרִית
